Full_Address,lat,lon
"Neurottstraße 16, 69190 Walldorf, DE",49.293679,8.6420534
"Lehrbachgasse 13, 1120 Wien, AT",48.1696091,16.3317498
"Trawoollaan 4, 1830 Machelen, BE",50.9170845,4.4330194
"Trawoollaan 4, 1830 Machelen, BE",50.9170845,4.4330194
"Kernenergiestraat 60, 2610 Wilrijk, BE",51.159007,4.3865459
"Berkenlaan 8B, 1831 Diegem, BE",50.8854657,4.4434615
"Prins Boudewijnlaan 5, 2550 Kontich, BE",51.1394276,4.4367615
"Oudedijk 1, 9130 Beveren, BE",51.2708493,4.2815799
"Smalleheerweg 31, 9041 Gent Oostakker, BE",51.0869062,3.7917867
"Rue Marguerite Bervoets 45, 1190 Bruxelles (Forest), BE",50.8134254,4.3214672
"Skaldenstraat 121 B2, 9042 Gent, BE",51.1132201,3.7942984
"Sitnyakovo Blvd. 48, 1505 Sofia, BG",42.6916209,23.3535868
"Tsarigradsko shose Blvd., 60-62 Sofia, BG",42.6829229,23.3484632
"Tsarigradsko shose Blvd., 60-62 Sofia, BG",42.6829229,23.3484632
"Sitnyakovo Blvd. 48, 1505 Sofia, BG",42.6916209,23.3535868
"Sitnyakovo Blvd. 48, 1505 Sofia, BG",42.6916209,23.3535868
"Schützenmattstrasse 266, 8180 Bülach, CH",47.5295388,8.5306391
"Wilerstrasse 35c, 9536 Schwarzenbach, CH",47.4446611,9.0722664
"Schützenmattstrasse 266, 8180 Bülach, CH",47.5295388,8.5306391
"Schützenmattstrasse 266, 8180 Bülach, CH",47.5295388,8.5306391
"Industriestrasse 28, 8604 Volketswil, CH",47.3791825,8.6785312
"K Vypichu 986, 252 19 Rudna, CZ",50.0188913,14.2051712
"Vyskocilova 1481/4, 140 00 Praha 4, CZ",50.0479002,14.4559213
"Goodyearstrasse 1a, 76661 Philippsburg, DE",49.2251064,8.4718478
"Dunlopstr. 2, 63450 Hanau, DE",50.1245219,8.9392964
"Goodyearstrasse 1a, 76661 Philippsburg, DE",49.2251064,8.4718478
"Dunlopstr. 2, 63450 Hanau, DE",50.1245219,8.9392964
"Am Tower 13, 54634 Bitburg, DE",49.9472253,6.5605508
"Justus-von-Liebig-Str. 1, 54516 Wittlich, DE",49.982729,6.9064577
"Boschstr. 8, 82282 Unterschweinbach, DE",48.2575712,11.1697852
"Südfelde 4, 48480 Spelle, DE",52.3528459,7.4760566
"Künzeller Str. 59, 36043 Fulda, DE",50.5469499,9.6925134
"Im Eichig, 36119 Neuhof, DE",50.4669158,9.6357945
"Industrieweg 45, 63450 Hanau, DE",50.1185575,8.941067
"Industrieweg 45, 63450 Hanau, DE",50.1185575,8.941067
"Industriestrasse 19, 63517 Rodenbach, DE",50.1455438,9.0047115
"Industrieweg 45, 63450 Hanau, DE",50.1185575,8.941067
"Tränkeweg 15a, 15517 Fürstenwalde, DE",52.3472937,14.0825638
